,홍대입구,건대입구,신촌역,서경대,이태원,강남역(역삼1동)
점포수(명/ha),338,117,202,5,64,60
3년생존율(명/ha),50,43.2,37.8,50,38.9,17.6
주거인구(명/ha),82,209,106,300,88,83
직장인구(명/ha),292,163,157,23,147,906
유동인구(명/ha),126339,294023,241357,19981,93434,115166
선택상권면적,584088,96064,255696,98569,100105,389457
