구분,평균매출액,점포,3년유지율,거주인구,직장인구,면적크기,1,유동인구
홍대,79653653.75,338,50,82,292,584088,126339,126339
건대,92618376.83,117,43.2,209,163,96064,294023,294023
신촌,58422378.58,202,37.8,106,157,255696,241357,241357
서경,21453000.17,5,50,300,23,98569,19981,19981
