구분,2016.09,2016.12,2017.03,2017.06,2017.09,2017.12,2018.03,2018.06,2018.09,2018.12,2019.03,2019.06
홍대입구,69782996,69180784,68509419,63836369,61393135,163138558,65607896,65031174,67039503,147171255,62279000,52873756
건대입구,83039101,83885149,84110950,85797045,80569368,93044764,97426767,101424072,106885184,159161221,69579948,66496953
신촌역,49597766,58299685,55798612,54011046,57158621,56300783,56587047,66357748,67521480,90713051,46936349,41786355
서경대,20139160,18850448,18045593,21341746,20434819,18036809,18324308,23283582,22816288,31169864,22687772,22305613
