",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28"
"0,Null,단편영화,촬영,드라마,일상,셀스타그램,독립영화,협찬,00,데일리,follow4follow,like4like,서경대,style,선팔,팔로우,selfie,대학생,서경대학교,인스타그램,배우지망생,ootd,배우,얼스타그램,촬영문의,영화,followme,20살,연기"
"1,Null,연기,00,드라마,팔로우,선팔,협찬,서경대학교,follow4follow,독립영화,style,20살,대학생,촬영문의,ootd,배우지망생,서경대,단편영화,like4like,selfie,인스타그램,셀스타그램,일상,촬영,데일리,얼스타그램,followme,배우,영화"
"2,Null,like4like,selfie,서경대학교,20살,00,연기,선팔,협찬,배우,촬영,얼스타그램,style,영화,대학생,독립영화,단편영화,일상,드라마,followme,follow4follow,셀스타그램,배우지망생,ootd,서경대,팔로우,촬영문의,인스타그램,데일리"
"3,da.j_i,오르막길,서경대,운동기록,,,,,,,,,,,,,,,,,,,,,,,,,"
"4,Null,style,일상,연기,단편영화,followme,selfie,배우지망생,드라마,데일리,팔로우,인스타그램,서경대,촬영,like4like,영화,20살,ootd,얼스타그램,선팔,셀스타그램,서경대학교,00,배우,대학생,촬영문의,독립영화,follow4follow,협찬"
"5,taekyung90,유튜브,태경,??,연기자,서경대,미니유asmr,단편영화,배우,유튜버,단편,가족,이태훈,아빠,남자연기자,영화,남자배우,,,,,,,,,,,,"
