bloggerlink,bloggername,cnt,description,link,postdate,title
https://blog.naver.com/sku-cast,서경대학교 캐스트 공식 블로그,304,<b>서경대</b> 카페 전격탐구 : 제1탄 로렐(Laurel)편 안녕하세요! <b>서경대</b>학교 캐스터즈 옴니암니팀입니다~ 이번에 저희 옴니암니팀은 학생들이 자주 찾는 그 곳! 달달한 내음이 가득한 학교 내 숨은 성지! 우리... ,https://blog.naver.com/sku-cast?Redirect=Log&logNo=220550916547,20151126,<b>서경대</b> 카페 전격탐구 : 제1탄 로렐(Laurel)편
https://blog.naver.com/peacell,로고스멘토 적성전문학원,305,"http://peacell.blog.me/221427940935 2019 적성고사 5관왕 합격후기(삼육대,<b>서경대</b>,수원대,한성대,가천대)1 최근 저희 로고스멘토적성학원 출신의 2019학년도 적성고사 합격생의 합격후기를 소개하고 있습니다.... ",https://blog.naver.com/peacell?Redirect=Log&logNo=221428578787,20181227,"2019 적성고사 5관왕 합격후기(삼육대,<b>서경대</b>,수원대,한성대... "
https://blog.naver.com/sunfeelcom2,GOTO고투 통합블로그,306,<b>서경대</b>헬스 새마을휘트니스 정릉점 G.X 팀 귀염둥이 명랑이에요^^ 비 소식이 잠깐 있더니 이제는 날씨가 푹푹 찌는군요 ㅠ 열대야에 불쾌지수가 굉장히 높아졌는데요. 무더위에 지치고 힘들 8월 <b>서경대</b>헬스... ,https://blog.naver.com/sunfeelcom2?Redirect=Log&logNo=220780517324,20160805,<b>서경대</b>헬스 핫썸머! 새마을휘트니스 정릉점과 함께[센터소개]
https://blog.naver.com/jung0744,서경대학교 평생교육원 공식블로그,307,"<b>서경대</b>학교 평생교육원입니다. 어느덧 수능이 3개월 앞으로 다가왔는데요. 다들 더운 날씨 속에 건강... 이 말은 즉슨, <b>서경대</b>학교 학점은행제평생교육원에서 일정 학점 이상 수업을 들으면 <b>서경대</b>학교 총장명의... ",https://blog.naver.com/jung0744?Redirect=Log&logNo=220786192960,20160812,"인서울 캠퍼스 생활을 원한다면, <b>서경대</b> 학점은행제평생교육원"
https://blog.naver.com/smart21m,DID 글로벌기업 스마트21,308,한동안 납품 사례 포스팅을 못했던 것 같은데요~ 오늘의 납품사례는 6월14일 <b>서경대</b>에 다녀온 후기 입니다. <b>서경대</b>에서 문의해 주신 제품은 49인치 스탠드형 DID입니다. 보다 편리하고 스마트하게 사용 하시길... ,https://blog.naver.com/smart21m?Redirect=Log&logNo=220747330473,20160627,DID 전문 [스마트21] - <b>서경대</b> - 49인치 스탠드형DID... 
https://blog.naver.com/gun0925,크리스챤쇼보부천캠퍼스,309,왜냐하면 <b>서경대</b> 입시제도가 변경된 사항이 수강생들을 흥분시키나봐요 부쩍 다른때도 열심히 하긴... 불리는 <b>서경대</b>가 첫 스타트를 끊었어요~ 온수미용학원 역곡미용학원 실기80%+학생부20%로 바뀌면서 실기의... ,https://blog.naver.com/gun0925?Redirect=Log&logNo=220971216231,20170331,부천미용학원 <b>서경대</b>입시제도 알아보기
https://blog.naver.com/designmage,디자인메이지미술학원 공식블로그,310,"오늘도 DM양과 함께하실 &lt;2019 미대수시 미리보기&gt;는 &lt;한성대, 상명대, <b>서경대</b>, 세종대&gt; 의 미대 수시... http://admission.smu.ac.kr/ 세 번째로, <b>서경대</b>학교의 미대 수시 전형에 대해서 알아보도록 하겠습니다!... ",https://blog.naver.com/designmage?Redirect=Log&logNo=221237774617,20180326,"2019학년도 미대수시 &lt;한성대, 상명대, <b>서경대</b>, 세종대&gt;"
https://blog.naver.com/qudgml1488,병히의 블로그,311,"방금 <b>서경대</b> 적성을 보고 왔는데요! 수학쪽이 좀 어렵더라구요;; 국어도 좀 헷갈리는 문항이 있었고... <b>서경대</b>는 학생부 60%, 적성 40%로 적성고사를 봤는데요, 수학 30문 국어 30문 총 60문항으로 60분간 시험을... ",https://blog.naver.com/qudgml1488?Redirect=Log&logNo=220134996027,20140928,2015 <b>서경대</b> 적성 후기
https://blog.naver.com/begnino_film,영화를 꿈꾸는 당신에게 ?.,312,"<b>서경대</b>는 시나리오 분석 능력과 분석한 시나리오를 바탕으로 이야기를 구성하고, 연출할 수 있는 능력을 함께 평가합니다. 단순히 말을 잘하는 것 보다 개인의 영화에 대한 열정을 보여주는 것이... ",https://blog.naver.com/begnino_film?Redirect=Log&logNo=221709564769,20191116,2020년도 수시 <b>서경대</b> 합격 _ 장O겸
https://blog.naver.com/sku-cast,서경대학교 캐스트 공식 블로그,313,"저렴하고 친근한 <b>서경대</b> 맛집, 츄밥에서 맛점 어때요? 안녕하세요! <b>서경대</b> 서포터즈예요 :) 모두들 명절 잘 보내셨나요? 4일 간의 긴 연휴를 마치고 아쉽게 다시 일상으로 돌아왔네요 오늘은 명절 후유증을... ",https://blog.naver.com/sku-cast?Redirect=Log&logNo=220495126175,20150930,"저렴하고 친근한 <b>서경대</b> 맛집, 츄밥에서 맛점 어때요?"
