",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
"125,wfdw6,힐링장소,행사,건대술집,건대핫플,건대맛집,헌팅술집,콘서트,이벤트,놀기,공연,훈녀,축제스타그램,훈남,건대,공연스타그램,헌팅,건대입구,오늘의훈녀,오늘의훈남,축제,건대카페,페이스,,,,,,,,"
"126,wltnrla7218,선팔,행복,20,ask,f4f,??,해피벌스데이,좋반,술,파티룸,건대,친구들,헤이러브,건대입구,팔로우,happy,우정,선팔하면맞팔,19학번,맞팔,생일,00,l4l,,,,,,,"
"127,92315g,대전,해운대,홍대맛집,청담,가로수길맛집,경리단길,신사,신사맛집,부산맛집,christmasisaroundthecorner,동성로맛집,동성로,청담맛집,남포동,울산,일산,이태원맛집,가로수길,이태원,전포카페거리,전주,건대입구,서면맛집,강남,해방촌,서면,광안리,압구정,홍대,신림"
"128,jb_music_academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"129,wfdw6,건대입구,건대맛집,건대카페,오늘의훈녀,페이스,훈녀,건대핫플,훈남,오늘의훈남,축제,헌팅술집,헌팅,콘서트,공연,이벤트,축제스타그램,힐링장소,건대술집,공연스타그램,행사,건대,놀기,,,,,,,,"
"130,yoon_rumi_xd,제로콜라,팝콘,일상스타그램,d_11,영화,일상,대학생,반반팝콘,러브앳,너와함께,오늘도,자몽에이드,?到??的?幸福,데이트??,cgv,건대입구,,,,,,,,,,,,,,"
"131,modak_601,거듭나는,경기도,일렉,첫,모닥불,베이스,보컬,어쿠스틱블루,통기타,용인,중,기타동아리,공연기획,단국대학교,전자음악,에서,서울공연,동아리,분당,기타,로,성수,건대입구,버스킹,,,,,,"
"132,with_otaku,repost,노라조_원흠생일,건대입구,원흠,망원카페,norazo,아워플래닛,ノラジョ,생일이벤트,냥토피아,샤워,ourplanet,happy_onehmday,건대카페,onehm,노라조,컵홀더이벤트,망원동,컵홀더,,,,,,,,,,,"
"133,d_in_n,네일메이커건대,유행네일,네일아트,건대네일메이커,핸드페인팅,건대,자석네일,건대네일,페디,네일디자인,크리스마스네일,손스타그램,페디디자인,네일메이커,네일메이커1호점,겨울네일,스톤네일,포인트네일,연말네일,젤페디,오로라네일,캐릭터네일,nail,젤네일,건대입구,홀로그램네일,페디큐어,페디큐어디자인,,"
"134,love_yujin_isop,직장인,퇴근후,건대입구,하교후,12월6일,건대데이트,데이트,럽스타그램,껍데기,먹스타그램,건대,고기,대학생,13번째,인계동껍데기,,,,,,,,,,,,,,,"
"135,clubface___1,축제,이벤트,콘서트,헌팅술집,힐링장소,축제스타그램,페이스,건대,플렉스,헌팅,오늘의훈남,건대카페,행사,훈녀,놀기,공연스타그램,건대술집,오늘의훈녀,훈남,공연,건대핫플,건대입구,건대맛집,,,,,,,"
"136,clubface___1,플렉스,건대,놀기,건대맛집,건대입구,공연스타그램,헌팅,축제스타그램,콘서트,훈녀,헌팅술집,건대핫플,공연,오늘의훈남,오늘의훈녀,건대카페,행사,이벤트,축제,페이스,힐링장소,훈남,건대술집,,,,,,,"
"137,clubface___1,헌팅술집,건대,건대입구,오늘의훈녀,힐링장소,축제스타그램,공연스타그램,오늘의훈남,건대맛집,축제,행사,이벤트,놀기,플렉스,훈남,헌팅,콘서트,건대술집,페이스,건대핫플,훈녀,건대카페,공연,,,,,,,"
"138,hairarte.1st__blond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"139,faceclub_11_4,축제스타그램,페이스,오늘의훈남,헌팅,플렉스,행사,공연스타그램,이벤트,축제,헌팅술집,놀기,오늘의훈녀,훈녀,힐링장소,건대,훈남,건대맛집,건대술집,건대핫플,공연,건대입구,건대카페,콘서트,,,,,,,"
"140,faceclub_11_4,플렉스,오늘의훈남,축제스타그램,헌팅,축제,헌팅술집,건대술집,훈남,건대,이벤트,건대입구,건대카페,놀기,힐링장소,행사,건대핫플,공연스타그램,페이스,콘서트,오늘의훈녀,건대맛집,공연,훈녀,,,,,,,"
"141,sun.mi.91,친구,이우정뽀에버,건대입구,20살,우리또만나,곧30살,,,,,,,,,,,,,,,,,,,,,,,,"
"142,__pearl._._,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"143,therosekb,프로포즈,이벤트카페,여자친구이벤트,결혼,올림픽대교,장미꽃,강변역카페,올림픽대교야경,이색데이트,여자친구랑,강변카페,이벤트문의,더로즈강변점,이색데이트장소,??,??,소통,팔로우,한강뷰카페,1주년데이트,건대입구,이색데이트추천,이벤트,건대,,,,,,"
"144,faceclub_11_4,플렉스,축제,헌팅,페이스,건대입구,힐링장소,건대핫플,이벤트,공연스타그램,놀기,헌팅술집,축제스타그램,콘서트,공연,건대,건대술집,훈남,건대카페,훈녀,건대맛집,행사,오늘의훈녀,오늘의훈남,,,,,,,"
"145,faceclub_11_4,콘서트,플렉스,헌팅술집,훈남,건대입구,건대술집,건대카페,건대,헌팅,놀기,행사,공연스타그램,힐링장소,오늘의훈남,건대맛집,축제스타그램,오늘의훈녀,페이스,공연,이벤트,축제,건대핫플,훈녀,,,,,,,"
"146,clubface___1,헌팅,축제,공연,건대입구,공연스타그램,건대맛집,페이스,헌팅술집,놀기,이벤트,오늘의훈남,건대카페,축제스타그램,행사,건대핫플,콘서트,힐링장소,건대,훈남,건대술집,오늘의훈녀,훈녀,플렉스,,,,,,,"
"147,semi_yujin,퇴근후,인계동껍데기,대학생,럽스타그램,건대데이트,먹스타그램,건대입구,데이트,직장인,껍데기,건대,고기,하교후,,,,,,,,,,,,,,,,,"
"148,goodprize1104,유도,건대입구,산악부,갑자기,스타벅스,유도부,만남,건국대,토피넛라떼,,,,,,,,,,,,,,,,,,,,,"
"149,Null,장우새끼,데일리,건대입구,일상,기먼준,,,,,,,,,,,,,,,,,,,,,,,,,"
"150,Null,다구워주심,하남돼지집,フォロバ,삼겹살,삼최몇,편안,추워,food,퇴근길,건대맛집,いいね返し,건대입구,ootd,フォロ?,저녁뭐먹지,likeforlikes,아침,영하9도,like4likes,스낵카일,출근길,lfl,インスタ映え,3인분가능,いいね,먹방인플루언서,f4f,,,"
"151,yejinn_96,숙취해소,숙취차단제,숙취,술스타그램,알콜스타그램,캐칭환,,,,,,,,,,,,,,,,,,,,,,,,"
"152,y_seooo_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"153,eunjung.hahm,건대입구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"154,cockokonii,부부,바오쯔,건대입구맛집,아들맘,육아맘,데이트,남편,부부스타그램,건대입구,럽스타그램,,,,,,,,,,,,,,,,,,,,"
"155,dur_sla.a,좋아요,사가정,셀피그램,일상,팔로우,건대입구,출근,셀스타그램,셀카,일상그램,셀피,소통,건대,휴무끝,일상스타그램,휴무,일상샷,월요일,,,,,,,,,,,,"
"156,d_dxxii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"157,firstlee.woo_sun,일상,selfie,과제,건대입구,소통,건대,셀스타그램,follow,셀카,셀피,카페온더플랜,데일리,뷰티크리에이터,,,,,,,,,,,,,,,,,"
"158,ryu_522,건대술집,건대맛집추천,1992잔나비,건대입구맛집,건대입구,나만알고싶은맛집,건대데이트,건대입구역,건대입구역맛집,단골매장,1992잔나비술집,건대핫플,건대맛집,건대데이트코스,,,,,,,,,,,,,,,,"
"159,byyh200,건대입구,카지노바카라,안전놀이터,맛있어요,밀크,네임드달팽이,카지노,섹꼬드,선팔,스페인,맞팔,운동,거울셀카,인친,불금,우리카지노,,,,,,,,,,,,,,"
"160,sehyeongjin4617,인스타감성,건대핫플,속초동명항,속초맛집추천야삼정식당,속초동명항맛집,건대카페안티크코코,속초물곰탕,야삼정식당,속초맛집야삼정식당,안티크코코,건대맛집,속초가자미조림,속초여행,속초맛집,속초모임장소,속초맛집추천,속초회식,건대역,건대입구,속초가볼만한곳,건대카페,속초대구탕,,,,,,,,"
"161,dongri_dong_dong,onehm,샤워,망원카페,ourplanet,컵홀더이벤트,repost,노라조_원흠생일,아워플래닛,happy_onehmday,망원동,노라조,ノラジョ,원흠,생일이벤트,건대카페,norazo,컵홀더,냥토피아,건대입구,,,,,,,,,,,"
"162,voil0liov,구의동맛집,건대입구,중곡동맛집,군자동맛집,건대역,아차산맛집,화양동맛집,광진구맛집,자양동맛집,세종대맛집,유머맛집111,성동구맛집,세종대,건대맛집,,,,,,,,,,,,,,,,"
"163,dudnf0313,글램디,팔로우미,잠실새내,노력하자,셀프염색,불면증,일상,잠실,톤다운,톤다운염색,왕십리,다이렉트,인스타그램,글램디워터젤리,다이렉트환영,건대입구,일상샷,22,98,미용인그램,인스타일상,신촌,미용인,글램디이지슬림,팔로우,체중유지,오늘의흔녀,상왕십리,,"
"164,wfdw6,훈녀,훈남,이벤트,콘서트,축제,놀기,헌팅술집,건대카페,행사,건대핫플,힐링장소,오늘의훈녀,헌팅,공연스타그램,페이스,축제스타그램,공연,건대입구,건대,건대술집,건대맛집,오늘의훈남,,,,,,,,"
"165,wltnrla7218,??,생일,f4f,우정,20,ask,헤이러브,happy,건대,l4l,팔로우,선팔,00,19학번,행복,건대입구,맞팔,해피벌스데이,선팔하면맞팔,친구들,술,파티룸,좋반,,,,,,,"
"166,92315g,가로수길맛집,전주,신사,서면,홍대맛집,부산맛집,가로수길,전포카페거리,강남,울산,대전,압구정,남포동,서면맛집,청담맛집,청담,christmasisaroundthecorner,동성로,신사맛집,홍대,일산,경리단길,신림,동성로맛집,이태원맛집,해운대,해방촌,건대입구,이태원,광안리"
"167,jb_music_academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"168,wfdw6,행사,건대,훈녀,헌팅,축제,페이스,공연스타그램,건대맛집,힐링장소,건대술집,훈남,공연,헌팅술집,축제스타그램,오늘의훈남,건대카페,이벤트,건대입구,놀기,오늘의훈녀,건대핫플,콘서트,,,,,,,,"
"169,yoon_rumi_xd,반반팝콘,자몽에이드,데이트??,일상,?到??的?幸福,영화,팝콘,대학생,cgv,건대입구,d_11,러브앳,오늘도,제로콜라,일상스타그램,너와함께,,,,,,,,,,,,,,"
"170,modak_601,통기타,로,중,건대입구,경기도,일렉,기타동아리,공연기획,성수,에서,베이스,동아리,버스킹,분당,용인,서울공연,첫,보컬,어쿠스틱블루,전자음악,기타,모닥불,거듭나는,단국대학교,,,,,,"
"171,with_otaku,생일이벤트,컵홀더,repost,냥토피아,happy_onehmday,망원동,건대입구,건대카페,망원카페,아워플래닛,원흠,샤워,onehm,노라조,ノラジョ,ourplanet,컵홀더이벤트,노라조_원흠생일,norazo,,,,,,,,,,,"
"172,d_in_n,네일메이커1호점,페디,연말네일,페디큐어,겨울네일,핸드페인팅,캐릭터네일,건대네일,건대,건대입구,네일메이커건대,손스타그램,홀로그램네일,스톤네일,네일디자인,자석네일,크리스마스네일,젤페디,젤네일,유행네일,페디큐어디자인,페디디자인,네일메이커,건대네일메이커,네일아트,포인트네일,nail,오로라네일,,"
"173,love_yujin_isop,껍데기,데이트,대학생,퇴근후,건대입구,인계동껍데기,건대,12월6일,직장인,13번째,먹스타그램,건대데이트,고기,하교후,럽스타그램,,,,,,,,,,,,,,,"
"174,clubface___1,훈녀,헌팅술집,힐링장소,축제,오늘의훈녀,훈남,건대맛집,플렉스,이벤트,놀기,오늘의훈남,건대입구,행사,공연스타그램,공연,페이스,건대핫플,콘서트,건대,건대카페,헌팅,축제스타그램,건대술집,,,,,,,"
"175,clubface___1,건대술집,이벤트,훈남,플렉스,오늘의훈남,건대카페,놀기,훈녀,행사,건대입구,헌팅,힐링장소,건대핫플,축제,공연,건대,콘서트,페이스,공연스타그램,건대맛집,오늘의훈녀,헌팅술집,축제스타그램,,,,,,,"
"176,clubface___1,건대,이벤트,콘서트,플렉스,축제,오늘의훈녀,공연스타그램,건대카페,건대술집,건대맛집,힐링장소,건대핫플,페이스,축제스타그램,공연,놀기,훈남,헌팅술집,건대입구,헌팅,훈녀,오늘의훈남,행사,,,,,,,"
"177,hairarte.1st__blond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"178,faceclub_11_4,건대술집,오늘의훈녀,훈남,오늘의훈남,힐링장소,헌팅,공연,축제스타그램,축제,콘서트,훈녀,건대,건대핫플,페이스,이벤트,공연스타그램,놀기,건대카페,플렉스,건대입구,헌팅술집,행사,건대맛집,,,,,,,"
"179,faceclub_11_4,행사,훈남,힐링장소,훈녀,건대,건대입구,오늘의훈녀,페이스,공연,건대핫플,오늘의훈남,헌팅술집,콘서트,축제,건대술집,플렉스,공연스타그램,놀기,건대맛집,건대카페,축제스타그램,이벤트,헌팅,,,,,,,"
"180,sun.mi.91,우리또만나,건대입구,친구,곧30살,20살,이우정뽀에버,,,,,,,,,,,,,,,,,,,,,,,,"
"181,__pearl._._,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"182,therosekb,팔로우,더로즈강변점,건대,프로포즈,이벤트,강변역카페,장미꽃,한강뷰카페,여자친구이벤트,올림픽대교야경,소통,이색데이트추천,이색데이트장소,이색데이트,이벤트카페,건대입구,강변카페,결혼,올림픽대교,이벤트문의,??,1주년데이트,??,여자친구랑,,,,,,"
"183,faceclub_11_4,놀기,페이스,훈녀,건대맛집,콘서트,건대카페,공연,플렉스,행사,건대핫플,건대술집,건대입구,오늘의훈녀,헌팅,이벤트,오늘의훈남,훈남,공연스타그램,축제스타그램,축제,헌팅술집,건대,힐링장소,,,,,,,"
"184,faceclub_11_4,공연,건대핫플,헌팅,훈남,행사,놀기,플렉스,오늘의훈남,건대카페,이벤트,건대맛집,페이스,훈녀,오늘의훈녀,축제,콘서트,건대입구,건대,공연스타그램,축제스타그램,힐링장소,건대술집,헌팅술집,,,,,,,"
"185,clubface___1,건대맛집,헌팅술집,공연스타그램,훈녀,건대핫플,헌팅,건대카페,건대입구,축제,오늘의훈남,이벤트,오늘의훈녀,건대,건대술집,훈남,플렉스,행사,놀기,축제스타그램,힐링장소,콘서트,공연,페이스,,,,,,,"
"186,semi_yujin,먹스타그램,하교후,럽스타그램,인계동껍데기,껍데기,대학생,직장인,데이트,퇴근후,건대데이트,건대,건대입구,고기,,,,,,,,,,,,,,,,,"
"187,goodprize1104,유도부,산악부,스타벅스,만남,건대입구,건국대,갑자기,유도,토피넛라떼,,,,,,,,,,,,,,,,,,,,,"
"188,Null,장우새끼,데일리,건대입구,일상,기먼준,,,,,,,,,,,,,,,,,,,,,,,,,"
"189,happy_onehmday,망원동,냥토피아,노라조,happy_onehmday,생일이벤트,아워플래닛,건대카페,원흠,건대입구,망원카페,norazo,ourplanet,onehm,컵홀더이벤트,샤워,컵홀더,노라조_원흠생일,ノラジョ,,,,,,,,,,,,"
"190,cy._.bin_,가로수길,일산,부산맛집,instadaily,이태원,동성로맛집,맞팔,instalike,청담,강남,선팔,서면맛집,홍대,대전,선팔하면맞팔,신사,아이폰,lfl,해방촌,전포카페거리,건대입구,마창진,좋아요반사,신림,압구정,경리단길,남포동,좋반,likeforlike,"
"191,h_jung85 on Instagra,개꿀,에효,혼족,맛과,서민식당,gs더프레시,치고들어오는,먹으면서도,위한,코가뻥뚫림,걱정,중국집,양장피,5천원의행복,건대입구,대기업,역시,그릇에담아,똑같음,마케팅,,,,,,,,,,"
"192,u_j1nnn,천호,진행중,신용재,서울,건대입구,instagram,01,아이유,코노,다이어트,365일,단발,겨울,노래방,엠씨더맥스,00,셀,딘,폴킴,가수,단발병,시킴,송하예,아라가,셀스타그램,이름,쓰는거,셀카,좋아요,양다일"
"193,xxcharmed_xx,얼스타그램,자양동,요정,셀카,다은시랑,건대,금요일은,건대입구,수정다은,selfie,불금,,,,,,,,,,,,,,,,,,,"
"194,mmmmmin_jiiiiiii,건국대,티라미수,커플사진,아이스아메리카노,장수커플,연애중,투썸플레이스,사랑중??,럽스타그램,커플스타그램,건대입구,행복,데이트,,,,,,,,,,,,,,,,,"
"195,12345674v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"196,s__yeon_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"197,s._.0_0,청담,lfl,홍대,셀스타그램,달맞이길,fff,일산,청담맛집,해방촌,울산,이태원,건대입구,홍대맛집,동성로,신림,부산,삼산동,신사맛집,남포동,경리단길,가로수길맛집,가로수길,서면맛집,강남,신사,이태원맛집,압구정,대구,서면,"
"198,doggylife_sulbbangs,강아지,도그스타그램,맛집,애견동반술집,애견포차,건대술집,견생술집,건대맛집,김가루,애견동반,개스타그램,건대애견동반,광진구,댕댕이,술빵스,럽스타그램,첫줄,건대입구,반려견,멍스타그램,애견,강사모,daily,데이트코스,건대,애견카페,데일리,애견술집,건대애견동반술집,"
"199,yeonghyeon_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"200,06.xx_,신사,부산맛집,부평,선팔하면맞팔,맛집,좋반,서면,좋아요,해운대,홍대,건대입구,남포동,오오티디,홍대맛집,혁신도시,전포카페거리,서면맛집,청담맛집,선팔맞팔,ootd,맞팔,가로수길맛집,일상,신사맛집,서울,좋아요반사,이태원맛집,동성로맛집,강남,"
"201,Null,출근길,3인분가능,건대맛집,다구워주심,lfl,ootd,삼겹살,추워,하남돼지집,いいね返し,저녁뭐먹지,f4f,먹방인플루언서,아침,삼최몇,フォロバ,food,건대입구,いいね,フォロ?,likeforlikes,like4likes,영하9도,インスタ映え,스낵카일,편안,퇴근길,,,"
"202,yejinn_96,숙취차단제,알콜스타그램,숙취,술스타그램,캐칭환,숙취해소,,,,,,,,,,,,,,,,,,,,,,,,"
"203,y_seooo_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"204,eunjung.hahm,건대입구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"205,cockokonii,럽스타그램,육아맘,건대입구,부부스타그램,건대입구맛집,바오쯔,데이트,부부,아들맘,남편,,,,,,,,,,,,,,,,,,,,"
"206,dur_sla.a,사가정,건대,셀카,휴무끝,월요일,일상스타그램,일상샷,팔로우,일상,좋아요,일상그램,셀피,휴무,건대입구,출근,셀스타그램,소통,셀피그램,,,,,,,,,,,,"
"207,d_dxxii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"208,firstlee.woo_sun,소통,follow,selfie,셀스타그램,건대입구,데일리,셀카,일상,셀피,과제,건대,카페온더플랜,뷰티크리에이터,,,,,,,,,,,,,,,,,"
"209,ryu_522,건대핫플,건대입구역,건대맛집,건대데이트,건대입구역맛집,1992잔나비술집,나만알고싶은맛집,1992잔나비,건대입구,단골매장,건대술집,건대맛집추천,건대입구맛집,건대데이트코스,,,,,,,,,,,,,,,,"
"210,with_otaku,happy_onehmday,norazo,망원카페,냥토피아,아워플래닛,생일이벤트,ourplanet,repost,건대입구,원흠,ノラジョ,onehm,망원동,컵홀더,건대카페,노라조,노라조_원흠생일,컵홀더이벤트,샤워,,,,,,,,,,,"
"211,d_in_n,크리스마스네일,포인트네일,건대네일메이커,젤페디,네일디자인,겨울네일,홀로그램네일,네일메이커,손스타그램,페디,페디큐어,캐릭터네일,핸드페인팅,건대입구,네일메이커건대,건대,네일메이커1호점,네일아트,오로라네일,스톤네일,건대네일,연말네일,젤네일,자석네일,nail,페디큐어디자인,유행네일,페디디자인,,"
"212,love_yujin_isop,12월6일,하교후,건대입구,껍데기,먹스타그램,인계동껍데기,럽스타그램,건대,13번째,건대데이트,대학생,퇴근후,고기,직장인,데이트,,,,,,,,,,,,,,,"
"213,clubface___1,힐링장소,이벤트,콘서트,건대맛집,놀기,축제,행사,오늘의훈남,건대입구,훈남,오늘의훈녀,축제스타그램,건대술집,플렉스,건대카페,건대,헌팅술집,공연스타그램,건대핫플,훈녀,페이스,공연,헌팅,,,,,,,"
"214,clubface___1,콘서트,플렉스,이벤트,헌팅술집,훈녀,축제,힐링장소,헌팅,공연스타그램,건대핫플,페이스,건대술집,축제스타그램,공연,훈남,오늘의훈녀,오늘의훈남,행사,건대카페,건대입구,건대맛집,놀기,건대,,,,,,,"
"215,clubface___1,헌팅술집,콘서트,공연,축제스타그램,축제,페이스,헌팅,플렉스,오늘의훈남,힐링장소,건대,놀기,건대입구,건대핫플,공연스타그램,건대맛집,행사,훈남,이벤트,건대술집,건대카페,훈녀,오늘의훈녀,,,,,,,"
"216,hairarte.1st__blond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"217,faceclub_11_4,건대입구,축제,행사,오늘의훈남,건대술집,공연스타그램,이벤트,건대핫플,건대맛집,헌팅술집,오늘의훈녀,훈남,놀기,건대카페,건대,축제스타그램,콘서트,헌팅,훈녀,공연,페이스,플렉스,힐링장소,,,,,,,"
"218,faceclub_11_4,건대카페,이벤트,건대술집,콘서트,축제,행사,훈남,훈녀,건대,건대입구,플렉스,힐링장소,건대맛집,페이스,건대핫플,놀기,오늘의훈남,공연스타그램,공연,오늘의훈녀,헌팅술집,축제스타그램,헌팅,,,,,,,"
"219,sun.mi.91,우리또만나,곧30살,친구,이우정뽀에버,20살,건대입구,,,,,,,,,,,,,,,,,,,,,,,,"
"220,__pearl._._,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"221,therosekb,이벤트카페,건대입구,프로포즈,올림픽대교,이색데이트추천,건대,한강뷰카페,팔로우,강변역카페,1주년데이트,올림픽대교야경,소통,이색데이트,여자친구랑,여자친구이벤트,이벤트문의,강변카페,장미꽃,??,이색데이트장소,이벤트,??,더로즈강변점,결혼,,,,,,"
"222,faceclub_11_4,축제,페이스,공연스타그램,훈남,헌팅술집,건대맛집,건대술집,행사,힐링장소,건대입구,공연,콘서트,건대핫플,오늘의훈녀,오늘의훈남,훈녀,이벤트,건대,헌팅,놀기,플렉스,축제스타그램,건대카페,,,,,,,"
"223,faceclub_11_4,훈남,힐링장소,건대맛집,페이스,행사,오늘의훈남,축제스타그램,축제,훈녀,놀기,건대입구,헌팅술집,플렉스,공연스타그램,콘서트,헌팅,공연,건대카페,건대,건대술집,이벤트,건대핫플,오늘의훈녀,,,,,,,"
"224,clubface___1,건대맛집,행사,오늘의훈녀,헌팅술집,플렉스,건대입구,건대술집,콘서트,훈남,건대카페,공연,건대,축제스타그램,힐링장소,건대핫플,페이스,축제,헌팅,훈녀,공연스타그램,오늘의훈남,놀기,이벤트,,,,,,,"
"225,semi_yujin,건대데이트,건대입구,먹스타그램,껍데기,인계동껍데기,고기,하교후,직장인,대학생,퇴근후,건대,럽스타그램,데이트,,,,,,,,,,,,,,,,,"
"226,goodprize1104,산악부,만남,유도부,토피넛라떼,유도,건대입구,스타벅스,갑자기,건국대,,,,,,,,,,,,,,,,,,,,,"
"227,Null,건대입구,일상,데일리,기먼준,장우새끼,,,,,,,,,,,,,,,,,,,,,,,,,"
"228,happy_onehmday,노라조_원흠생일,happy_onehmday,망원동,원흠,컵홀더이벤트,냥토피아,노라조,norazo,샤워,건대입구,건대카페,ノラジョ,ourplanet,onehm,아워플래닛,생일이벤트,망원카페,컵홀더,,,,,,,,,,,,"
"229,cy._.bin_,좋아요반사,서면맛집,남포동,instadaily,홍대,선팔하면맞팔,부산맛집,강남,이태원,likeforlike,압구정,가로수길,대전,건대입구,마창진,전포카페거리,동성로맛집,일산,해방촌,신사,맞팔,경리단길,lfl,신림,청담,아이폰,instalike,좋반,선팔,"
"230,h_jung85 on Instagra,개꿀,맛과,먹으면서도,양장피,서민식당,대기업,위한,gs더프레시,코가뻥뚫림,건대입구,혼족,그릇에담아,역시,걱정,중국집,마케팅,치고들어오는,5천원의행복,똑같음,에효,,,,,,,,,,"
"231,u_j1nnn,시킴,엠씨더맥스,셀카,건대입구,단발,셀스타그램,좋아요,폴킴,01,양다일,셀,00,다이어트,노래방,단발병,신용재,송하예,쓰는거,딘,천호,코노,아라가,365일,이름,서울,instagram,아이유,겨울,가수,진행중"
"232,xxcharmed_xx,셀카,불금,건대,selfie,건대입구,요정,자양동,수정다은,다은시랑,얼스타그램,금요일은,,,,,,,,,,,,,,,,,,,"
"233,mmmmmin_jiiiiiii,커플스타그램,사랑중??,아이스아메리카노,건대입구,티라미수,장수커플,행복,커플사진,연애중,투썸플레이스,럽스타그램,데이트,건국대,,,,,,,,,,,,,,,,,"
"234,12345674v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"235,s__yeon_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"236,s._.0_0,해방촌,동성로,가로수길,경리단길,셀스타그램,홍대맛집,이태원,가로수길맛집,압구정,강남,홍대,신사맛집,대구,서면,삼산동,서면맛집,부산,청담,달맞이길,신사,이태원맛집,신림,청담맛집,fff,일산,남포동,건대입구,lfl,울산,"
"237,doggylife_sulbbangs,럽스타그램,광진구,맛집,건대술집,애견포차,애견술집,견생술집,술빵스,애견동반술집,데일리,김가루,건대맛집,애견,건대입구,멍스타그램,건대애견동반술집,애견카페,강아지,반려견,애견동반,도그스타그램,첫줄,강사모,댕댕이,데이트코스,개스타그램,daily,건대애견동반,건대,"
"238,yeonghyeon_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"239,06.xx_,선팔맞팔,청담맛집,홍대맛집,부산맛집,맛집,오오티디,맞팔,서울,신사맛집,좋아요,전포카페거리,ootd,강남,해운대,건대입구,홍대,서면맛집,서면,혁신도시,신사,일상,선팔하면맞팔,동성로맛집,이태원맛집,남포동,가로수길맛집,좋반,부평,좋아요반사,"
"240,y__ju01,대전,건대입구,우사단길,동성로맛집,홍대,일산,압구정,전주,남포동,혁신도시,서면맛집,가로수길맛집,이태원맛집,달맞이길,해방촌,청담맛집,서면,전포카페거리,이태원,신사맛집,객리단길,강남,신사,경리단길,청담,부산맛집,홍대맛집,신림,삼산동,"
"241,eunji_6__,맞팔,신림,남포동,홍대,건대입구,선팔하면맞팔,이태원,경리단길,신사,청담맛집,대전,청담,가로수길맛집,부산,동성로,서면,해방촌,선팔,강남,좋아요반사,일산,팔로잉,홍대맛집,압구정,팔로우,좋반,이태원맛집,instadaily,,"
"242,s.__.bin_e,대학생,서울,인친,선팔,aesthetic,피드채우기,건대입구,fashion,소통,좋아요,dailylook,연남동,팔로우,피드,신사역,하트테러,follow4like,좋아요반사,강남맛집,이태원맛집,fff,일상,ootd,망리단길,맞팔,가로수길,부산카페,홍대입구,likeforlikes,첫줄반사"
"243,jjeongi__kim on Inst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"244,yooonnnn,이태원,instagood,dailylook,선팔하면맞팔,기장카페,건대입구,소통,followme,l4l,청담동,술스타그램,instadaily,동성로,스물,inspiration,likeforlikes,ootd,뷰티,광안리,미용인,일상스타그램,가로수길,양산,좋아요반사,첫줄반사,홍대,노원,f4f,여행,followforfollowback"
"245,gagyoung_,동백꽃필무렵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"246,01.0i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"247,groomer_ek,풀코트,광진구애견미용,광진구,김언니펫살롱,애견미용,자양동,건대입구,비숑미용,건대애견미용,bichonfrise,doggroomer,애견미용실,가위컷,스파,doggrooming,푸들,시츄,자양동애견미용,maltese,애견미용잘하는곳,포메,비숑,강아지미용,하이바,미용맛집,뚝섬유원지,애견샵,poodle,애견호텔,grooming"
"248,gagyoung_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"249,gagyoung_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"250,gagyoung_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"251,gagyoung_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"252,Null,삼겹살,3인분가능,저녁뭐먹지,삼최몇,건대맛집,フォロ?,먹방인플루언서,영하9도,like4likes,いいね,lfl,다구워주심,건대입구,출근길,f4f,ootd,インスタ映え,스낵카일,いいね返し,편안,추워,아침,퇴근길,フォロバ,food,하남돼지집,likeforlikes,,,"
